image,candidate,proposed_class,proposed_text,proposed_coordinates,reviewer_decision,final_class,final_coordinates,timestamp,status
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/11.png,MRP,MRP,'MRP,"[[62.0, 324.0], [86.0, 324.0], [86.0, 336.0], [62.0, 336.0]]",ACCEPT,MRP,"[[62.0, 324.0], [86.0, 324.0], [86.0, 336.0], [62.0, 336.0]]",2026-08-30T20:05:04.374847,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/13.png,MRP,MRP,of which Sugars,"[[361.0, 242.0], [489.0, 244.0], [489.0, 266.0], [361.0, 264.0]]",REJECT,NONE,NONE,2026-08-30T20:05:04.398850,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/13.png,MRP,MRP,"Condiments (Onion Powder Parsley Powder,","[[328.0, 495.0], [623.0, 495.0], [623.0, 516.0], [328.0, 516.0]]",REJECT,NONE,NONE,2026-08-30T20:05:04.416895,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/13.png,MRP,MRP,MRP Rs.65/-INCL.OFALL TAXES,"[[331.0, 1059.0], [606.0, 1059.0], [606.0, 1081.0], [331.0, 1081.0]]",ACCEPT,MRP,"[[331.0, 1059.0], [606.0, 1059.0], [606.0, 1081.0], [331.0, 1081.0]]",2026-08-30T20:05:04.554307,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/18.png,NET_QUANTITY,NET_QUANTITY,NET WEIGHT200g,"[[136.0, 395.0], [218.0, 395.0], [218.0, 407.0], [136.0, 407.0]]",ACCEPT,NET_QUANTITY,"[[136.0, 395.0], [218.0, 395.0], [218.0, 407.0], [136.0, 407.0]]",2026-08-30T20:05:04.651746,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,CONSUMER_CARE,CONSUMER_CARE,NESTLE CONSUMER CARE,"[[333.0, 466.0], [617.0, 466.0], [617.0, 498.0], [333.0, 498.0]]",ACCEPT,CONSUMER_CARE,"[[333.0, 466.0], [617.0, 466.0], [617.0, 498.0], [333.0, 498.0]]",2026-08-30T20:05:04.886615,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,NET_QUANTITY,NET_QUANTITY,NET WEIGHT:,"[[322.0, 1348.0], [481.0, 1348.0], [481.0, 1380.0], [322.0, 1380.0]]",ACCEPT,NET_QUANTITY,"[[322.0, 1348.0], [481.0, 1348.0], [481.0, 1380.0], [322.0, 1380.0]]",2026-08-30T20:05:05.009208,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,MRP,SugarSucroseg),"[[910.0, 548.0], [1005.0, 550.0], [1004.0, 567.0], [909.0, 565.0]]",REJECT,NONE,NONE,2026-08-30T20:05:05.032024,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,CONSUMER_CARE,CONSUMER_CARE,NESTLE CONSUMER CARE,"[[345.0, 600.0], [577.0, 600.0], [577.0, 631.0], [345.0, 631.0]]",ACCEPT,CONSUMER_CARE,"[[345.0, 600.0], [577.0, 600.0], [577.0, 631.0], [345.0, 631.0]]",2026-08-30T20:05:05.233449,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,NET_QUANTITY,NET_QUANTITY,NET WEIGHT:,"[[314.0, 1299.0], [462.0, 1299.0], [462.0, 1327.0], [314.0, 1327.0]]",ACCEPT,NET_QUANTITY,"[[314.0, 1299.0], [462.0, 1299.0], [462.0, 1327.0], [314.0, 1327.0]]",2026-08-30T20:05:05.355709,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/28.png,MRP,MRP,PowderGarlic PowderRed ChilliPowderGinger PowderSugar,"[[419.0, 415.0], [881.0, 408.0], [881.0, 430.0], [419.0, 437.0]]",REJECT,NONE,NONE,2026-08-30T20:05:05.376917,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/28.png,NET_QUANTITY,NET_QUANTITY,Net Weight:300g,"[[891.0, 571.0], [1064.0, 571.0], [1064.0, 597.0], [891.0, 597.0]]",ACCEPT,NET_QUANTITY,"[[891.0, 571.0], [1064.0, 571.0], [1064.0, 597.0], [891.0, 597.0]]",2026-08-30T20:05:05.584729,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/28.png,MRP,MRP,MRP,"[[890.0, 680.0], [962.0, 676.0], [963.0, 699.0], [891.0, 703.0]]",ACCEPT,MRP,"[[890.0, 680.0], [962.0, 676.0], [963.0, 699.0], [891.0, 703.0]]",2026-08-30T20:05:05.679561,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/46.png,NET_QUANTITY,NET_QUANTITY,Net Weight250g,"[[60.0, 355.0], [170.0, 353.0], [170.0, 378.0], [60.0, 380.0]]",ACCEPT,NET_QUANTITY,"[[60.0, 355.0], [170.0, 353.0], [170.0, 378.0], [60.0, 380.0]]",2026-08-30T20:05:05.815311,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/8.png,MRP,MRP,MRP20.00 (INCL.OFALL TAXES),"[[90.0, 291.0], [216.0, 291.0], [216.0, 304.0], [90.0, 304.0]]",ACCEPT,MRP,"[[90.0, 291.0], [216.0, 291.0], [216.0, 304.0], [90.0, 304.0]]",2026-08-30T20:05:05.959394,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/3.png,NET_QUANTITY,NET_QUANTITY,Net weight:,"[[288.0, 53.0], [364.0, 55.0], [364.0, 69.0], [288.0, 67.0]]",ACCEPT,NET_QUANTITY,"[[288.0, 53.0], [364.0, 55.0], [364.0, 69.0], [288.0, 67.0]]",2026-08-30T20:05:06.124318,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/3.png,MRP,MRP,Rs.18/-,"[[376.0, 71.0], [422.0, 71.0], [422.0, 86.0], [376.0, 86.0]]",ACCEPT,MRP,"[[376.0, 71.0], [422.0, 71.0], [422.0, 86.0], [376.0, 86.0]]",2026-08-30T20:05:06.187590,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/4.png,NET_QUANTITY,NET_QUANTITY,Net Weight:,"[[313.0, 264.0], [358.0, 264.0], [358.0, 274.0], [313.0, 274.0]]",ACCEPT,NET_QUANTITY,"[[313.0, 264.0], [358.0, 264.0], [358.0, 274.0], [313.0, 274.0]]",2026-08-30T20:05:06.328832,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/5.png,CONSUMER_CARE,CONSUMER_CARE,NESTLE CONSUMER CARE,"[[403.0, 387.0], [508.0, 386.0], [508.0, 404.0], [403.0, 405.0]]",ACCEPT,CONSUMER_CARE,"[[403.0, 387.0], [508.0, 386.0], [508.0, 404.0], [403.0, 405.0]]",2026-08-30T20:05:06.472661,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/11.png,MRP,MRP,of which Sugars,"[[286.0, 278.0], [336.0, 278.0], [336.0, 288.0], [286.0, 288.0]]",REJECT,NONE,NONE,2026-08-30T20:05:06.497556,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/16.png,MRP,MRP,MRP:Rs.,"[[99.0, 411.0], [129.0, 411.0], [129.0, 422.0], [99.0, 422.0]]",ACCEPT,MRP,"[[99.0, 411.0], [129.0, 411.0], [129.0, 422.0], [99.0, 422.0]]",2026-08-30T20:05:06.615768,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,MRP,MRP,-Total Sugars(g),"[[936.0, 509.0], [1011.0, 509.0], [1011.0, 533.0], [936.0, 533.0]]",REJECT,NONE,NONE,2026-08-30T20:05:06.635557,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,MRP,MRP,MRPincl.of all axes),"[[339.0, 767.0], [544.0, 767.0], [544.0, 805.0], [339.0, 805.0]]",ACCEPT,MRP,"[[339.0, 767.0], [544.0, 767.0], [544.0, 805.0], [339.0, 805.0]]",2026-08-30T20:05:06.747517,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,MRP,MRP,MasalaASMAKERxp22.5%Rsticewdr6.4%oder1.9%mc,"[[747.0, 820.0], [1161.0, 820.0], [1161.0, 842.0], [747.0, 842.0]]",REJECT,NONE,NONE,2026-08-30T20:05:06.770125,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,MRP,MRP,powderRstn0.4%grekowdRastgarmmasla or 0.3%ion Bay,"[[747.0, 902.0], [1161.0, 902.0], [1161.0, 923.0], [747.0, 923.0]]",REJECT,NONE,NONE,2026-08-30T20:05:06.793499,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,MRP,MRP,Totol Sugars (g),"[[905.0, 534.0], [988.0, 536.0], [987.0, 553.0], [905.0, 551.0]]",REJECT,NONE,NONE,2026-08-30T20:05:06.813950,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/51.png,MRP,MRP,MRP230.00 inclusive of al tam,"[[277.0, 216.0], [396.0, 216.0], [396.0, 226.0], [277.0, 226.0]]",ACCEPT,MRP,"[[277.0, 216.0], [396.0, 216.0], [396.0, 226.0], [277.0, 226.0]]",2026-08-30T20:05:07.036112,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/4.png,MRP,MRP,MRP<,"[[313.0, 279.0], [337.0, 279.0], [337.0, 291.0], [313.0, 291.0]]",ACCEPT,MRP,"[[313.0, 279.0], [337.0, 279.0], [337.0, 291.0], [313.0, 291.0]]",2026-08-30T20:05:07.099175,COMPLETED
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/5.png,MRP,MRP,fatsCocoa solids 4.4%Emulsifier Soya lecithinRaising ,"[[316.0, 193.0], [540.0, 194.0], [540.0, 208.0], [316.0, 207.0]]",REJECT,NONE,NONE,2026-08-30T20:05:07.125531,COMPLETED
bulk_session,multiple,,completed
bulk_session,multiple,,completed
